burst_behavior,burst_index,cv,freq_variance,kurtosis,modalirity_burst,name,nu,pause_index,pause_ratio,skewness,temp,x,y
0.0,0.0,0.567456947167,99.4535519126,7.26380804764,0.0,Cell#004,0.87232448511,8.5,81.5151515152,1.42345367521,24.0,23.0,195.2
0.0,0.0,1.18918256944,97.4632412344,5.69591410897,0.0,Cell#040,1.08897780972,1.0,1.0,1.89285849968,24.0,166.5,212.5
0.0,0.0,0.739369518499,99.2419825073,2.55960244556,0.0,Cell#046,0.931770406676,5.75,39.4573170732,0.20094333735,24.0,189.5,232.6
0.0,0.0,0.581376998633,99.1167192429,2.477258891,0.0,Cell#097,0.64762014844,9.5,72.1553030303,-0.129055087314,24.0,396.2,198.1
0.0,0.0,0.825120987934,94.6428571429,7.01284511002,0.0,Cell#116,0.873568916904,1.0,1.0,2.04819625594,24.0,459.4,172.3
0.0,0.0,0.41917502245,82.9504849413,2.58943401453,0.0,Cell#125,0.456341307817,1.0,1.0,0.610202846553,24.0,493.8,212.5
0.0,0.0,2.39955075208,99.649963154,20.8090082192,0.0,Cell#156,0.996627172878,5.83333333333,26.5570469799,4.2816555024,24.0,608.7,215.3
0.0,0.0,0.780456065111,93.8722966014,3.62937848044,0.0,Cell#038,0.878135166152,1.0,1.0,1.23554915137,24.0,338.8,149.3
0.0,0.0,2.57254657253,99.5485678705,36.0291696408,0.0,Cell#044,1.1757996087,18.5,69.7052238806,5.91071031307,24.0,379.0,223.9
0.0,0.0,0.759874690085,98.3914209115,9.93279827689,0.0,Cell#045,0.80222898762,12.6,29.2793650794,2.44559439083,24.0,381.9,126.3
0.0,0.0,0.834486608599,98.9769820972,4.33126499972,0.0,Cell#051,0.909392025294,16.6666666667,54.923857868,1.4206567452,24.0,399.1,232.6
0.0,0.0,0.761388078204,98.934796643,2.77501091564,0.0,Cell#053,0.96751512866,12.0,128.263157895,0.843164811312,24.0,407.7,252.7
0.0,0.0,0.577769819399,91.192917055,4.09154709823,0.0,Cell#057,0.805411905951,1.0,1.0,1.0560912617,24.0,419.2,183.8
0.0,0.0,1.28418059918,99.1538229072,7.29866881283,0.0,Cell#069,1.13368132091,13.0,74.5437262357,2.31125930471,24.0,485.2,232.6
0.0,0.0,0.84332710563,94.0672153635,13.4412066634,0.0,Cell#071,1.02975215527,1.0,1.0,3.02813850271,24.0,488.1,180.9
0.0,0.0,1.2744770037,99.1721381673,22.5740998457,0.0,Cell#091,1.23111145032,11.0,48.8045112782,4.20748531041,24.0,591.4,152.2
